Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"126,580,941","17,861,836,584.51",11.766,Apple Inc,Common Stock,Information Technology,01/23/2023
QQQ,594918104,MSFT ,"73,441,002","17,815,318,265.16",11.735,Microsoft Corp,Common Stock,Information Technology,01/23/2023
QQQ,023135106,AMZN ,"100,925,763","9,842,280,407.76",6.483,Amazon.com Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,02079K107,GOOG ,"60,209,290","6,093,782,240.90",4.014,Alphabet Inc,Common Stock,Communication Services,01/23/2023
QQQ,67066G104,NVDA ,"31,572,261","6,059,664,053.73",3.992,NVIDIA Corp,Common Stock,Information Technology,01/23/2023
QQQ,02079K305,GOOGL ,"60,227,647","6,010,116,894.13",3.959,Alphabet Inc,Common Stock,Communication Services,01/23/2023
QQQ,88160R101,TSLA ,"31,239,915","4,490,737,781.25",2.958,Tesla Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,30303M102,META ,"28,860,015","4,134,774,349.05",2.724,Meta Platforms Inc,Common Stock,Communication Services,01/23/2023
QQQ,11135F101,AVGO ,"5,197,858","3,023,230,148.54",1.991,Broadcom Inc,Common Stock,Information Technology,01/23/2023
QQQ,713448108,PEP ,"17,682,045","2,990,387,450.40",1.970,PepsiCo Inc,Common Stock,Consumer Staples,01/23/2023
QQQ,22160K105,COST ,"5,680,440","2,798,241,548.40",1.843,Costco Wholesale Corp,Common Stock,Consumer Staples,01/23/2023
QQQ,17275R102,CSCO ,"52,724,496","2,504,413,560.00",1.650,Cisco Systems Inc,Common Stock,Information Technology,01/23/2023
QQQ,872590104,TMUS ,"15,967,914","2,305,287,744.18",1.519,T-Mobile US Inc,Common Stock,Communication Services,01/23/2023
QQQ,20030N101,CMCSA ,"55,366,723","2,229,064,267.98",1.468,Comcast Corp,Common Stock,Communication Services,01/23/2023
QQQ,00724F101,ADBE ,"5,966,695","2,177,724,341.10",1.434,Adobe Inc,Common Stock,Information Technology,01/23/2023
QQQ,882508104,TXN ,"11,648,036","2,075,330,574.12",1.367,Texas Instruments Inc,Common Stock,Information Technology,01/23/2023
QQQ,64110L106,NFLX ,"5,711,431","2,041,379,668.02",1.345,Netflix Inc,Common Stock,Communication Services,01/23/2023
QQQ,747525103,QCOM ,"14,387,112","1,885,143,285.36",1.242,QUALCOMM Inc,Common Stock,Information Technology,01/23/2023
QQQ,031162100,AMGN ,"6,848,111","1,787,151,527.67",1.177,Amgen Inc,Common Stock,Health Care,01/23/2023
QQQ,438516106,HON ,"8,628,893","1,764,263,462.78",1.162,Honeywell International Inc,Common Stock,Industrials,01/23/2023
QQQ,458140100,INTC ,"52,967,063","1,603,312,997.01",1.056,Intel Corp,Common Stock,Information Technology,01/23/2023
